surveyID	surveyTargetValue	surveyTargetType	includeOrExclude	surveyTargetID
71-2	Lobodon carcinophaga	taxon	include	344008
71-2	Mirounga leonina	taxon	include	231413
72-1	Hydrurga leptonyx	taxon	include	231417
72-1	Leptonychotes weddellii	taxon	include	195932
72-1	Lobodon carcinophaga	taxon	include	344008
72-1	Mirounga leonina	taxon	include	231413
72-2	Hydrurga leptonyx	taxon	include	231417
72-2	Leptonychotes weddellii	taxon	include	195932
72-2	Lobodon carcinophaga	taxon	include	344008
72-2	Mirounga leonina	taxon	include	231413
73-1	Hydrurga leptonyx	taxon	include	231417
73-1	Leptonychotes weddellii	taxon	include	195932
73-1	Lobodon carcinophaga	taxon	include	344008
73-1	Mirounga leonina	taxon	include	231413
73-2	Hydrurga leptonyx	taxon	include	231417
73-2	Leptonychotes weddellii	taxon	include	195932
73-2	Lobodon carcinophaga	taxon	include	344008
73-2	Mirounga leonina	taxon	include	231413
74-1	Hydrurga leptonyx	taxon	include	231417
74-1	Leptonychotes weddellii	taxon	include	195932
74-1	Lobodon carcinophaga	taxon	include	344008
74-1	Mirounga leonina	taxon	include	231413
74-2	Hydrurga leptonyx	taxon	include	231417
74-2	Leptonychotes weddellii	taxon	include	195932
74-2	Lobodon carcinophaga	taxon	include	344008
74-2	Mirounga leonina	taxon	include	231413
75-1	Hydrurga leptonyx	taxon	include	231417
75-1	Leptonychotes weddellii	taxon	include	195932
75-1	Lobodon carcinophaga	taxon	include	344008
75-1	Mirounga leonina	taxon	include	231413
75-2	Hydrurga leptonyx	taxon	include	231417
75-2	Leptonychotes weddellii	taxon	include	195932
75-2	Lobodon carcinophaga	taxon	include	344008
75-2	Mirounga leonina	taxon	include	231413
76-1	Hydrurga leptonyx	taxon	include	231417
76-1	Leptonychotes weddellii	taxon	include	195932
76-1	Lobodon carcinophaga	taxon	include	344008
76-1	Mirounga leonina	taxon	include	231413
76-2	Hydrurga leptonyx	taxon	include	231417
76-2	Leptonychotes weddellii	taxon	include	195932
76-2	Lobodon carcinophaga	taxon	include	344008
76-2	Mirounga leonina	taxon	include	231413
77-1	Hydrurga leptonyx	taxon	include	231417
77-1	Leptonychotes weddellii	taxon	include	195932
77-1	Lobodon carcinophaga	taxon	include	344008
77-1	Mirounga leonina	taxon	include	231413
77-2	Hydrurga leptonyx	taxon	include	231417
77-2	Leptonychotes weddellii	taxon	include	195932
77-2	Lobodon carcinophaga	taxon	include	344008
77-2	Mirounga leonina	taxon	include	231413
78-1	Hydrurga leptonyx	taxon	include	231417
78-1	Leptonychotes weddellii	taxon	include	195932
78-1	Lobodon carcinophaga	taxon	include	344008
78-1	Mirounga leonina	taxon	include	231413
78-2	Hydrurga leptonyx	taxon	include	231417
78-2	Leptonychotes weddellii	taxon	include	195932
78-2	Lobodon carcinophaga	taxon	include	344008
78-2	Mirounga leonina	taxon	include	231413
79-1	Hydrurga leptonyx	taxon	include	231417
79-1	Leptonychotes weddellii	taxon	include	195932
79-1	Lobodon carcinophaga	taxon	include	344008
79-1	Mirounga leonina	taxon	include	231413
79-2	Hydrurga leptonyx	taxon	include	231417
79-2	Leptonychotes weddellii	taxon	include	195932
79-2	Lobodon carcinophaga	taxon	include	344008
79-2	Mirounga leonina	taxon	include	231413
8-1	Hydrurga leptonyx	taxon	include	231417
8-1	Leptonychotes weddellii	taxon	include	195932
8-1	Lobodon carcinophaga	taxon	include	344008
8-1	Mirounga leonina	taxon	include	231413
8-2	Hydrurga leptonyx	taxon	include	231417
8-2	Leptonychotes weddellii	taxon	include	195932
8-2	Lobodon carcinophaga	taxon	include	344008
8-2	Mirounga leonina	taxon	include	231413
80-1	Hydrurga leptonyx	taxon	include	231417
80-1	Leptonychotes weddellii	taxon	include	195932
80-1	Lobodon carcinophaga	taxon	include	344008
80-1	Mirounga leonina	taxon	include	231413
80-2	Hydrurga leptonyx	taxon	include	231417
80-2	Leptonychotes weddellii	taxon	include	195932
80-2	Lobodon carcinophaga	taxon	include	344008
80-2	Mirounga leonina	taxon	include	231413
81-1	Hydrurga leptonyx	taxon	include	231417
81-1	Leptonychotes weddellii	taxon	include	195932
81-1	Lobodon carcinophaga	taxon	include	344008
81-1	Mirounga leonina	taxon	include	231413
81-2	Hydrurga leptonyx	taxon	include	231417
81-2	Leptonychotes weddellii	taxon	include	195932
81-2	Lobodon carcinophaga	taxon	include	344008
81-2	Mirounga leonina	taxon	include	231413
82-1	Hydrurga leptonyx	taxon	include	231417
82-1	Leptonychotes weddellii	taxon	include	195932
82-1	Lobodon carcinophaga	taxon	include	344008
82-1	Mirounga leonina	taxon	include	231413
82-2	Hydrurga leptonyx	taxon	include	231417
82-2	Leptonychotes weddellii	taxon	include	195932
82-2	Lobodon carcinophaga	taxon	include	344008
82-2	Mirounga leonina	taxon	include	231413
83-1	Hydrurga leptonyx	taxon	include	231417
83-1	Leptonychotes weddellii	taxon	include	195932
83-1	Lobodon carcinophaga	taxon	include	344008
83-1	Mirounga leonina	taxon	include	231413
83-2	Hydrurga leptonyx	taxon	include	231417
83-2	Leptonychotes weddellii	taxon	include	195932
83-2	Lobodon carcinophaga	taxon	include	344008
83-2	Mirounga leonina	taxon	include	231413
84-1	Hydrurga leptonyx	taxon	include	231417
84-1	Leptonychotes weddellii	taxon	include	195932
84-1	Lobodon carcinophaga	taxon	include	344008
84-1	Mirounga leonina	taxon	include	231413
84-2	Hydrurga leptonyx	taxon	include	231417
84-2	Leptonychotes weddellii	taxon	include	195932
84-2	Lobodon carcinophaga	taxon	include	344008
84-2	Mirounga leonina	taxon	include	231413
85-1	Hydrurga leptonyx	taxon	include	231417
